area_id,state_ut,district,locality,crime_risk_index,accident_risk_index,road_condition_score,sanitation_hygiene_score,public_review_score,emergency_access_score,environment_score,infrastructure_score,tourist_facilities_score,tourist_safety_score,tourist_friendliness_score,data_status,real_data_sources,score_method,data_year,requested_region_quota
IN-00001,Odisha,Angul,Angul Heritage Area 0001,41.0,61.53,49.64,36.36,15.43,46.91,75.77,33.68,43.94,44.22,41.9,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00012,Odisha,Jagatsinghpur,Jagatsinghpur Market Area 0012,40.52,78.16,62.64,65.39,57.11,48.2,50.86,53.8,60.58,53.28,56.38,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00013,Odisha,Jajpur,Jajpur Rural Area 0013,72.5,45.18,35.34,64.64,66.61,71.48,73.87,88.96,87.22,50.93,61.15,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00014,Odisha,Jharsuguda,Jharsuguda Rural Area 0014,40.77,49.11,43.51,60.03,76.96,74.09,56.54,98.0,92.76,59.75,64.88,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00015,Odisha,Kalahandi,Kalahandi Tourist Zone 0015,51.18,52.23,98.0,76.96,66.99,53.79,61.1,68.82,52.09,64.1,70.69,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00016,Odisha,Kandhamal,Kandhamal Beach Area 0016,19.64,53.15,53.62,40.92,69.2,66.07,71.39,50.49,54.1,61.86,58.82,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00017,Odisha,Kendrapara,Kendrapara Beach Area 0017,49.87,64.1,33.24,47.28,91.44,47.94,56.2,49.36,73.35,51.31,53.97,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00018,Odisha,Keonjhar,Keonjhar Urban Area 0018,44.4,70.14,48.57,53.44,61.51,62.74,57.14,61.25,58.9,52.04,55.65,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00019,Odisha,Khordha,Khordha Hill Area 0019,54.6,61.27,69.74,50.61,66.87,52.55,79.23,66.62,61.35,54.46,61.54,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00020,Odisha,Koraput,Koraput Heritage Area 0020,23.88,71.6,63.61,43.52,64.38,65.11,69.61,40.52,58.56,59.01,58.0,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00021,Odisha,Malkangiri,Malkangiri Temple Area 0021,37.54,32.32,60.35,51.06,59.17,74.33,55.8,58.42,40.56,61.58,59.84,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00022,Odisha,Mayurbhanj,Mayurbhanj Urban Area 0022,68.67,59.37,37.33,81.42,79.17,82.36,67.12,84.02,68.58,55.21,66.84,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00023,Odisha,Nabarangpur,Nabarangpur Heritage Area 0023,52.43,29.9,54.58,98.0,98.0,90.4,41.52,47.91,74.04,71.11,73.35,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00024,Odisha,Nayagarh,Nayagarh Tourist Zone 0024,20.12,65.19,71.71,69.05,61.26,68.46,72.72,57.5,83.37,65.98,66.66,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00025,Odisha,Nuapada,Nuapada Beach Area 0025,22.77,62.99,31.98,97.29,95.95,48.7,62.37,68.83,43.13,66.63,68.43,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00026,Odisha,Puri,Puri Beach Area 0026,59.06,18.45,32.83,67.43,91.36,46.28,50.43,49.19,82.82,58.36,57.92,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00027,Odisha,Rayagada,Rayagada Transit Corridor 0027,21.52,41.59,66.8,56.51,87.69,46.23,67.4,59.86,75.54,68.02,66.0,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00028,Odisha,Sambalpur,Sambalpur Market Area 0028,40.32,60.05,58.0,61.79,72.29,89.51,77.31,22.02,63.73,62.54,63.33,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00029,Odisha,Subarnapur,Subarnapur Nature Area 0029,57.59,79.21,68.39,63.15,93.38,36.22,67.19,95.94,55.1,54.44,67.28,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00030,Odisha,Sundargarh,Sundargarh Market Area 0030,34.83,45.11,84.12,72.55,46.75,48.89,48.15,59.85,79.89,62.34,61.79,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00031,Odisha,Angul,Angul Nature Area 0031,18.44,27.26,20.45,40.28,32.33,20.8,71.88,17.85,51.56,50.93,37.74,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00032,Odisha,Balangir,Balangir Heritage Area 0032,91.35,55.65,47.83,70.98,65.63,44.18,76.11,17.01,93.49,44.7,52.57,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00033,Odisha,Balasore,Balasore Urban Area 0033,23.33,19.04,23.73,38.91,80.8,88.07,50.28,34.22,14.04,64.15,54.81,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00034,Odisha,Bargarh,Bargarh Tourist Zone 0034,50.4,50.25,50.18,65.54,53.5,46.97,50.94,62.56,87.91,52.49,54.55,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00035,Odisha,Bhadrak,Bhadrak Temple Area 0035,35.77,56.21,61.65,31.98,52.55,40.01,47.18,42.73,83.79,50.91,47.65,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00036,Odisha,Boudh,Boudh Nature Area 0036,59.97,54.23,37.73,98.0,53.72,57.18,83.19,54.23,64.04,55.17,61.67,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00037,Odisha,Cuttack,Cuttack Tourist Zone 0037,46.18,52.7,73.06,59.85,91.17,39.74,75.54,37.07,59.22,61.91,64.32,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00038,Odisha,Deogarh,Deogarh Beach Area 0038,77.23,33.85,44.37,52.34,50.51,51.03,98.0,61.28,40.06,47.7,55.04,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00039,Odisha,Dhenkanal,Dhenkanal Nature Area 0039,62.25,94.31,68.81,51.89,79.22,29.02,35.04,47.48,65.18,44.93,52.38,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00040,Odisha,Gajapati,Gajapati Hill Area 0040,19.77,68.94,37.57,59.8,85.86,39.17,72.55,44.53,65.35,59.75,58.05,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00041,Odisha,Ganjam,Ganjam Rural Area 0041,68.2,55.78,47.89,42.71,29.13,5.91,47.78,54.72,30.78,35.52,37.68,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00042,Odisha,Jagatsinghpur,Jagatsinghpur Temple Area 0042,64.03,76.3,25.13,85.56,82.78,52.89,56.78,75.66,63.06,49.7,59.98,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00043,Odisha,Jajpur,Jajpur Heritage Area 0043,86.5,51.16,49.61,37.45,73.39,73.51,67.87,87.37,84.91,45.51,58.32,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00044,Odisha,Jharsuguda,Jharsuguda Rural Area 0044,38.09,49.94,54.95,43.78,78.02,66.17,52.52,66.58,75.98,58.74,59.73,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00045,Odisha,Kalahandi,Kalahandi Temple Area 0045,38.94,48.35,84.67,72.46,74.42,62.22,76.18,70.05,54.1,67.78,72.52,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00046,Odisha,Kandhamal,Kandhamal Urban Area 0046,19.49,35.82,23.94,80.51,74.86,51.13,79.16,65.3,53.21,65.72,62.89,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00047,Odisha,Kendrapara,Kendrapara Transit Corridor 0047,40.81,59.4,49.75,64.18,96.16,51.15,45.68,43.02,78.53,59.8,60.45,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00048,Odisha,Keonjhar,Keonjhar Tourist Zone 0048,44.86,71.23,23.99,12.39,61.9,36.85,51.13,63.38,75.31,39.08,39.65,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00049,Odisha,Khordha,Khordha Temple Area 0049,30.72,48.11,62.02,63.52,64.85,63.97,96.85,47.63,66.04,64.9,65.63,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00050,Odisha,Koraput,Koraput Temple Area 0050,28.66,74.4,98.0,27.45,56.18,47.36,62.99,50.9,77.96,56.8,57.57,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00051,Odisha,Malkangiri,Malkangiri Market Area 0051,49.42,12.94,68.38,70.54,75.36,87.6,41.46,39.31,34.14,68.68,66.15,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00052,Odisha,Mayurbhanj,Mayurbhanj Transit Corridor 0052,33.81,16.13,33.69,98.0,77.28,70.79,47.49,59.99,46.53,69.93,66.65,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00053,Odisha,Nabarangpur,Nabarangpur Urban Area 0053,38.8,50.64,41.95,51.84,82.8,52.51,25.99,29.03,81.65,55.74,51.18,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00054,Odisha,Nayagarh,Nayagarh Nature Area 0054,7.69,60.25,70.88,84.29,65.45,67.77,65.28,39.82,92.5,72.17,68.42,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00055,Odisha,Nuapada,Nuapada Urban Area 0055,53.11,52.63,16.71,70.02,81.24,28.58,76.87,32.82,37.14,50.73,51.7,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00056,Odisha,Puri,Puri Hill Area 0056,64.4,27.38,58.81,66.92,80.58,45.61,60.49,58.97,78.8,58.32,62.03,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00057,Odisha,Rayagada,Rayagada Heritage Area 0057,31.87,69.57,74.34,31.69,81.48,56.1,41.11,40.27,77.11,57.39,56.22,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00058,Odisha,Sambalpur,Sambalpur Urban Area 0058,53.34,65.71,71.09,67.04,74.33,71.88,59.12,36.18,70.73,58.82,63.29,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00059,Odisha,Subarnapur,Subarnapur Urban Area 0059,56.78,95.0,60.24,98.0,95.97,16.45,83.22,73.65,48.98,55.49,69.34,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00060,Odisha,Sundargarh,Sundargarh Nature Area 0060,15.32,68.92,72.54,68.03,58.25,39.22,69.83,68.7,96.29,63.07,63.36,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00061,Odisha,Angul,Angul Nature Area 0061,35.54,34.28,30.27,36.77,39.45,45.14,65.18,37.15,42.19,49.72,43.15,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00062,Odisha,Balangir,Balangir Heritage Area 0062,77.92,47.31,50.64,98.0,80.34,27.25,81.03,26.54,98.0,54.55,61.47,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00063,Odisha,Balasore,Balasore Heritage Area 0063,23.22,40.04,44.67,38.62,80.51,98.0,41.15,34.41,50.23,64.62,58.08,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00064,Odisha,Bargarh,Bargarh Rural Area 0064,50.94,39.7,68.2,71.99,80.46,66.78,62.82,52.94,79.83,64.23,67.41,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00065,Odisha,Bhadrak,Bhadrak Rural Area 0065,38.99,63.05,60.0,22.25,51.06,38.8,44.26,78.74,68.54,46.88,47.9,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00066,Odisha,Boudh,Boudh Transit Corridor 0066,47.58,55.06,68.96,76.96,69.21,37.31,76.97,75.77,54.24,59.7,66.2,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00067,Odisha,Cuttack,Cuttack Urban Area 0067,13.05,56.85,74.71,68.7,83.97,28.57,77.66,62.79,49.72,69.06,68.27,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00068,Odisha,Deogarh,Deogarh Temple Area 0068,71.23,71.77,62.54,67.64,46.83,54.69,78.95,67.34,49.39,47.39,58.5,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00069,Odisha,Dhenkanal,Dhenkanal Beach Area 0069,61.53,80.27,58.35,68.6,84.09,25.53,60.45,34.79,58.66,49.81,56.19,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00070,Odisha,Gajapati,Gajapati Nature Area 0070,37.41,25.65,52.69,62.74,98.0,40.19,53.11,57.71,60.46,65.49,63.49,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00071,Odisha,Ganjam,Ganjam Temple Area 0071,54.45,67.33,61.84,71.9,71.48,22.3,54.43,25.63,49.23,52.02,54.02,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
